,0,1,2,3,4,5,6,7,8,9,10
ECOG_RIGHT_fft_high gamma,-0.24543409002922578,-0.18155372074296228,-0.15658739779133685,-0.15440998198552836,-0.10449323236958269,-0.10476794468219336,-0.14403647756164722,-0.056187447110880195,-0.08996585790691713,-0.17216337599783116,-0.12957560646088861
ECOG_RIGHT_fft_HFA,-0.24076543807208034,-0.15794493500466872,-0.08990717084289201,-0.06293170917229662,-0.08527159891132446,-0.10136542003441823,-0.13596477194898926,-0.05825930502554788,-0.08219784707001943,-0.13137411511934904,-0.12024592658925853
ECOG_LEFT_Sharpwave_Max_prominence_range_5_80,-0.22653460117544894,-0.1608422596183754,-0.0759210696460722,-0.061860280376796695,-0.08680361309111384,-0.10209186619205907,-0.13078566922071994,-0.04824383917929714,-0.08126605526804853,-0.12379438318082925,-0.11765132670630618
ECOG_LEFT_Sharpwave_Mean_interval_range_5_80,-0.21718758201858573,-0.15564065593623833,-0.06892369793406994,-0.07139736361510485,-0.07872293501199162,-0.10215259887066963,-0.12465296598825865,-0.047532998332285026,-0.08439784881268408,-0.11167724889020425,-0.12676699510204253
ECOG_LEFT_Sharpwave_Max_sharpness_range_5_80,-0.214812071139853,-0.1537962338690546,-0.07006834976061099,-0.07231182185838492,-0.07981396834364074,-0.10193362212855994,-0.12485021955706294,-0.04825347604654484,-0.08231158785725556,-0.11044265027890743,-0.12458335744979881
ECOG_LEFT_Sharpwave_Max_prominence_range_5_30,-0.22157919654726876,-0.15677403247241595,-0.07685891713520104,-0.07126095948438638,-0.07684602815886882,-0.1091152653893167,-0.1258802460583066,-0.0534426789011172,-0.07915185281032044,-0.12973217142951132,-0.1315345324729562
ECOG_LEFT_Sharpwave_Mean_interval_range_5_30,-0.2326531411574691,-0.15842684726379624,-0.0744269202658906,-0.06864026833903225,-0.08189664922070183,-0.10665358405776365,-0.12314795992527344,-0.0458426133723861,-0.07896283141338811,-0.13228842238363564,-0.130463676971934
ECOG_LEFT_Sharpwave_Max_sharpness_range_5_30,-0.23361616670033192,-0.15576292544713155,-0.08204857066884857,-0.07215446764604472,-0.08723216792610877,-0.10677214140214714,-0.12063210410614184,-0.04647440185038154,-0.07968469759624508,-0.13388966920373735,-0.13389578593422713
ECOG_RIGHT_Sharpwave_Max_prominence_range_5_80,-0.24707940126925076,-0.15385568223654855,-0.07701447527689192,-0.03960964384016097,-0.08889701811892065,-0.09344757715071234,-0.13098589108478215,-0.05265938853886937,-0.09105825639394183,-0.13109059404150852,-0.12326978701129998
ECOG_RIGHT_Sharpwave_Mean_interval_range_5_80,-0.24063716265895446,-0.1570487568991712,-0.07234500815076528,-0.03778145640253383,-0.09757333271564217,-0.094085333049581,-0.1266260046435676,-0.04943181722623441,-0.09022470737503929,-0.12340271368481637,-0.11588916601640137
